trending_date,category_name,views,avg_likes,num_trending_videos
2017-11-14,Autos & Vehicles,814856,5124.5,4
2017-11-14,Comedy,16643490,66160.53846153847,13
2017-11-14,Education,966237,5023.222222222223,9
2017-11-14,Entertainment,28047357,19072.8,45
2017-11-14,Film & Animation,6015279,11596.25,8
2017-11-14,Gaming,154872,7683.0,1
2017-11-14,Howto & Style,15926296,24429.88888888889,18
2017-11-14,Music,97097557,104937.2,45
2017-11-14,News & Politics,1571196,1835.0,13
2017-11-14,People & Blogs,7753285,19221.70588235294,17
2017-11-14,Pets & Animals,1010302,9944.8,5
2017-11-14,Science & Technology,6537832,13395.166666666666,12
2017-11-14,Sports,2755539,3161.0,9
2017-11-14,Travel & Events,141148,1661.0,1
2017-11-15,Autos & Vehicles,490043,4426.666666666667,3
2017-11-15,Comedy,24481858,66557.66666666667,18
2017-11-15,Education,1963810,9313.875,8
2017-11-15,Entertainment,28235702,20117.11111111111,45
2017-11-15,Film & Animation,9506075,15988.7,10
2017-11-15,Gaming,161231,7803.0,1
2017-11-15,Howto & Style,15069357,23116.29411764706,17
2017-11-15,Music,100808098,112721.81081081081,37
2017-11-15,News & Politics,2205982,2578.153846153846,13
2017-11-15,People & Blogs,8407922,22222.214285714286,14
2017-11-15,Pets & Animals,1110165,11902.0,4
2017-11-15,Science & Technology,11738876,18353.615384615383,13
2017-11-15,Sports,7382888,3002.133333333333,15
2017-11-15,Travel & Events,883209,1405.5,2
2017-11-16,Autos & Vehicles,769861,6492.0,3
2017-11-16,Comedy,21543134,64195.6,15
2017-11-16,Education,2200807,8738.555555555555,9
2017-11-16,Entertainment,36124139,24560.916666666668,48
2017-11-16,Film & Animation,9882722,24586.5,12
2017-11-16,Gaming,224426,17784.0,1
2017-11-16,Howto & Style,16287015,30368.666666666668,15
2017-11-16,Music,106066813,142974.6551724138,29
2017-11-16,News & Politics,2013912,1905.7692307692307,13
2017-11-16,People & Blogs,8423782,27432.454545454544,11
2017-11-16,Pets & Animals,737925,6294.6,5
2017-11-16,Science & Technology,17235740,19704.1875,16
2017-11-16,Sports,4412872,2781.7,20
2017-11-16,Travel & Events,1442243,1101.0,3
2017-11-17,Autos & Vehicles,1382660,12343.666666666666,3
2017-11-17,Comedy,19618967,44943.166666666664,18
2017-11-17,Education,3451566,17172.6,10
2017-11-17,Entertainment,42336053,27146.79591836735,49
2017-11-17,Film & Animation,13095583,35675.0,10
2017-11-17,Gaming,519452,14855.5,2
2017-11-17,Howto & Style,13948862,27322.69230769231,13
2017-11-17,Music,71951966,115965.75862068965,29
2017-11-17,News & Politics,2135193,2435.733333333333,15
2017-11-17,People & Blogs,7180424,25899.5,10
2017-11-17,Pets & Animals,549977,6674.0,4
2017-11-17,Science & Technology,12989327,19797.4375,16
2017-11-17,Sports,3938070,2592.3684210526317,19
2017-11-17,Travel & Events,443611,1374.5,2
2017-11-18,Autos & Vehicles,1884048,16012.0,3
2017-11-18,Comedy,14912229,35455.72222222222,18
2017-11-18,Education,4834269,18568.75,12
2017-11-18,Entertainment,48933568,30935.270833333332,48
2017-11-18,Film & Animation,15843530,44163.88888888889,9
2017-11-18,Gaming,750011,18612.5,2
2017-11-18,Howto & Style,4939537,20719.35714285714,14
2017-11-18,Music,71341340,129989.91176470589,34
2017-11-18,News & Politics,1896526,2369.75,12
2017-11-18,People & Blogs,7526963,26363.727272727272,11
2017-11-18,Pets & Animals,721017,7843.5,4
2017-11-18,Science & Technology,20093917,26981.235294117647,17
2017-11-18,Sports,2696984,2931.4666666666667,15
2017-11-18,Travel & Events,472936,2867.0,1
2017-11-19,Autos & Vehicles,2838841,13267.0,4
2017-11-19,Comedy,15135247,44251.26666666667,15
2017-11-19,Education,5532915,19979.0,12
2017-11-19,Entertainment,54200341,33428.97959183674,49
2017-11-19,Film & Animation,22756214,64292.0,9
2017-11-19,Gaming,993740,21931.0,2
2017-11-19,Howto & Style,5933342,22823.214285714286,14
2017-11-19,Music,71648075,119964.78048780488,41
2017-11-19,News & Politics,970005,1586.5555555555557,9
2017-11-19,People & Blogs,8072235,27453.18181818182,11
2017-11-19,Pets & Animals,530225,6628.5,4
2017-11-19,Science & Technology,22947307,34113.4,15
2017-11-19,Sports,3493797,4881.6,15
2017-11-20,Autos & Vehicles,4893477,13944.6,5
2017-11-20,Comedy,16660836,42535.6875,16
2017-11-20,Education,4871354,25523.5,8
2017-11-20,Entertainment,63012378,39097.574468085106,47
2017-11-20,Film & Animation,29379058,70772.3,10
2017-11-20,Gaming,1161236,23856.5,2
2017-11-20,Howto & Style,6626486,24441.785714285714,14
2017-11-20,Music,90979245,125030.38636363637,44
2017-11-20,News & Politics,1196331,2063.8888888888887,9
2017-11-20,People & Blogs,8120023,23502.153846153848,13
2017-11-20,Pets & Animals,1026387,12293.8,5
2017-11-20,Science & Technology,24464877,39302.692307692305,13
2017-11-20,Sports,3481708,5945.384615384615,13
2017-11-20,Travel & Events,1126715,12919.0,1
2017-11-21,Autos & Vehicles,3627400,7929.666666666667,3
2017-11-21,Comedy,12498055,30323.375,16
2017-11-21,Education,4323932,23947.222222222223,9
2017-11-21,Entertainment,59368425,42642.78048780488,41
2017-11-21,Film & Animation,37277548,82093.1,10
2017-11-21,Gaming,1254163,24845.0,2
2017-11-21,Howto & Style,8262095,23790.555555555555,18
2017-11-21,Music,106261890,119725.20408163265,49
2017-11-21,News & Politics,1001893,1821.0,10
2017-11-21,People & Blogs,6495300,18654.69230769231,13
2017-11-21,Pets & Animals,1054855,21324.333333333332,3
2017-11-21,Science & Technology,24444288,38525.0,13
2017-11-21,Sports,4660018,7018.363636363636,11
2017-11-21,Travel & Events,1836934,13217.0,2
2017-11-22,Autos & Vehicles,3954828,12674.5,2
2017-11-22,Comedy,11504822,26607.63157894737,19
2017-11-22,Education,5204900,30892.0,8
2017-11-22,Entertainment,53277709,33449.09302325582,43
2017-11-22,Film & Animation,37496964,107582.42857142857,7
2017-11-22,Gaming,1249486,46508.0,1
2017-11-22,Howto & Style,8410512,23959.166666666668,18
2017-11-22,Music,126800422,132965.78723404257,47
2017-11-22,News & Politics,1950246,1946.0714285714287,14
2017-11-22,People & Blogs,7030946,17003.375,16
2017-11-22,Pets & Animals,1142749,21954.333333333332,3
2017-11-22,Science & Technology,19643051,37003.72727272727,11
2017-11-22,Sports,3506168,5215.555555555556,9
2017-11-22,Travel & Events,2173885,13975.5,2
2017-11-23,Autos & Vehicles,4077562,12918.5,2
2017-11-23,Comedy,11529980,27038.166666666668,18
2017-11-23,Education,6284476,30426.444444444445,9
2017-11-23,Entertainment,42442249,33149.11111111111,45
2017-11-23,Film & Animation,43826288,73097.75,12
2017-11-23,Gaming,87397,3617.0,1
2017-11-23,Howto & Style,6531074,16328.3,20
2017-11-23,Music,131043898,142043.33333333334,36
2017-11-23,News & Politics,2491987,2331.8571428571427,14
2017-11-23,People & Blogs,5155269,12181.777777777777,18
2017-11-23,Pets & Animals,675938,22498.5,2
2017-11-23,Science & Technology,17106705,29257.846153846152,13
2017-11-23,Sports,5331085,6522.5,8
2017-11-23,Travel & Events,2449628,14501.0,2
2017-11-24,Autos & Vehicles,3318492,16937.0,1
2017-11-24,Comedy,12365405,29806.764705882353,17
2017-11-24,Education,6257884,31025.222222222223,9
2017-11-24,Entertainment,49723341,34357.916666666664,48
2017-11-24,Film & Animation,34595756,47951.25,12
2017-11-24,Gaming,152289,5828.0,1
2017-11-24,Howto & Style,7248687,17701.15,20
2017-11-24,Music,146023610,161565.75,32
2017-11-24,News & Politics,2586884,2577.153846153846,13
2017-11-24,People & Blogs,4738185,12145.5,18
2017-11-24,Pets & Animals,1070911,22363.0,3
2017-11-24,Science & Technology,19243479,28420.533333333333,15
2017-11-24,Sports,6363933,7632.111111111111,9
2017-11-24,Travel & Events,2628577,14966.0,2
2017-11-25,Autos & Vehicles,3393569,17209.0,1
2017-11-25,Comedy,13462374,36844.23529411765,17
2017-11-25,Education,3457321,18843.85714285714,7
2017-11-25,Entertainment,54001724,37752.04347826087,46
2017-11-25,Film & Animation,39658819,49703.833333333336,12
2017-11-25,Gaming,181125,6912.0,1
2017-11-25,Howto & Style,7999508,16962.954545454544,22
2017-11-25,Music,165746174,196118.91428571427,35
2017-11-25,News & Politics,2751956,2479.9285714285716,14
2017-11-25,People & Blogs,4931846,12449.0,18
2017-11-25,Pets & Animals,1404008,22949.333333333332,3
2017-11-25,Science & Technology,6192453,12139.23076923077,13
2017-11-25,Sports,6477919,7770.444444444444,9
2017-11-25,Travel & Events,2793273,15606.0,2
2017-11-26,Autos & Vehicles,3817432,17921.0,2
2017-11-26,Comedy,15958048,39521.555555555555,18
2017-11-26,Education,2681280,22015.6,5
2017-11-26,Entertainment,56369450,38373.51063829787,47
2017-11-26,Film & Animation,40025301,46260.692307692305,13
2017-11-26,Gaming,206601,7613.0,1
2017-11-26,Howto & Style,10063534,28603.583333333332,24
2017-11-26,Music,188427721,209884.79411764705,34
2017-11-26,News & Politics,2862337,2536.5,14
2017-11-26,People & Blogs,5065860,13083.5,18
2017-11-26,Pets & Animals,1746824,24718.666666666668,3
2017-11-26,Science & Technology,6536164,14140.454545454546,11
2017-11-26,Sports,6364049,7741.222222222223,9
2017-11-26,Travel & Events,265812,11619.0,1
2017-11-27,Autos & Vehicles,517801,10756.0,2
2017-11-27,Comedy,25328336,55192.86363636364,22
2017-11-27,Education,2777092,18706.0,6
2017-11-27,Entertainment,58935423,38258.291666666664,48
2017-11-27,Film & Animation,44769112,47409.53846153846,13
2017-11-27,Gaming,228805,8353.0,1
2017-11-27,Howto & Style,11609717,35151.36363636364,22
2017-11-27,Music,89342557,151272.7741935484,31
2017-11-27,News & Politics,3217042,3292.9285714285716,14
2017-11-27,People & Blogs,5604252,12908.052631578947,19
2017-11-27,Pets & Animals,1071171,16656.5,2
2017-11-27,Science & Technology,6823951,17646.555555555555,9
2017-11-27,Sports,7330868,6807.888888888889,9
2017-11-27,Travel & Events,343149,8469.0,2
2017-11-28,Autos & Vehicles,1293056,21908.0,2
2017-11-28,Comedy,25443315,48500.0,24
2017-11-28,Education,2629284,16277.142857142857,7
2017-11-28,Entertainment,50116497,34774.63043478261,46
2017-11-28,Film & Animation,44935298,66041.11111111111,9
2017-11-28,Gaming,240663,8645.0,1
2017-11-28,Howto & Style,12407871,32561.0,23
2017-11-28,Music,78668250,132050.21875,32
2017-11-28,News & Politics,3681140,3280.3571428571427,14
2017-11-28,People & Blogs,3945674,10402.0,17
2017-11-28,Pets & Animals,1142814,17271.0,2
2017-11-28,Science & Technology,10568826,26588.30769230769,13
2017-11-28,Sports,7436576,7024.111111111111,9
2017-11-28,Travel & Events,74812,5352.0,1
2017-11-29,Autos & Vehicles,1777284,16831.666666666668,3
2017-11-29,Comedy,25804457,56744.625,24
2017-11-29,Education,2327110,14421.166666666666,6
2017-11-29,Entertainment,35946938,26213.5625,48
2017-11-29,Film & Animation,4361749,14750.25,8
2017-11-29,Gaming,246989,8801.0,1
2017-11-29,Howto & Style,13644265,31964.4,25
2017-11-29,Music,86106138,141603.70967741936,31
2017-11-29,News & Politics,6097922,5714.142857142857,14
2017-11-29,People & Blogs,3101183,12924.636363636364,11
