date,forecast_views
2017-11-14,0.0
2017-11-15,23174139.363050304
2017-11-16,25694775.407955896
2017-11-17,33111830.08119448
2017-11-18,39888664.587233715
2017-11-19,45009710.77017269
2017-11-20,52830610.404685035
2017-11-21,58821089.73842776
2017-11-22,59488205.23343039
2017-11-23,52895097.78906715
2017-11-24,45910112.44064267
2017-11-25,48612505.869931385
2017-11-26,54385795.00173259
2017-11-27,54502795.07400463
2017-11-28,59217973.14391319
2017-11-29,49761546.18708026
2017-11-30,40482275.07726382
2017-12-01,64858358.508838296
2017-12-02,79592343.5356879
2017-12-03,93952574.20793784
2017-12-04,111638016.96332592
2017-12-05,119436963.13219997
2017-12-06,135162290.31243122
2017-12-07,139278941.052356
2017-12-08,166430121.5136635
2017-12-09,179222906.4054955
2017-12-10,129105475.53340682
2017-12-11,154612093.3454552
2017-12-12,174481022.48619226
2017-12-13,207635271.62260646
2017-12-14,230382467.8883176
2017-12-15,225697613.76379868
2017-12-16,118860281.9591164
2017-12-17,71893043.3159858
2017-12-18,64328735.534231424
2017-12-19,66399413.834953345
2017-12-20,63092388.367526755
2017-12-21,52045013.30583094
2017-12-22,60461288.94676713
2017-12-23,52400826.77831081
2017-12-24,50521402.339543
2017-12-25,40209236.4455569
2017-12-26,52979091.95182368
2017-12-27,36976220.90134593
2017-12-28,41346301.36626742
2017-12-29,34840350.96196824
2017-12-30,42255098.66627628
2017-12-31,32932427.055679742
2018-01-01,37685149.97328751
2018-01-02,29681345.965075187
2018-01-03,35338583.90407943
2018-01-04,45202405.45081855
2018-01-05,61260009.24522656
2018-01-06,57220606.86016567
2018-01-07,68022199.88491231
2018-01-08,62380858.66651433
2018-01-09,75372668.09429221
2018-01-12,79698695.11499466
2018-01-13,44845072.24473448
2018-01-14,38089591.985746
2018-01-15,44503787.49233378
2018-01-16,40673753.2690797
2018-01-17,44481954.74473159
2018-01-18,38129438.34967605
2018-01-19,37046642.4225069
2018-01-20,27117077.53873374
2018-01-21,34233807.61607333
2018-01-22,29076981.311852623
2018-01-23,34200299.71825392
2018-01-24,30629262.566514857
2018-01-25,39169524.7555662
2018-01-26,41574179.05545257
2018-01-27,39785141.98101447
2018-01-28,30886848.078368798
2018-01-29,39648190.65502474
2018-01-30,40047957.411915325
2018-01-31,44169614.25599275
2018-02-01,51317233.529917605
2018-02-02,48205098.65672075
2018-02-03,40907212.91309796
2018-02-04,42688524.00764112
2018-02-05,48286606.85869308
2018-02-06,62093472.45512377
2018-02-07,88170597.03954278
2018-02-08,94060227.385037
2018-02-09,110701529.32182139
2018-02-10,110237402.1690787
2018-02-11,71739412.8871569
2018-02-12,77781289.9273436
2018-02-13,70939993.42327249
2018-02-14,79781446.71316141
2018-02-15,61883638.249930575
2018-02-16,42326217.53994307
2018-02-17,35290277.37511698
2018-02-18,40427744.86027972
2018-02-19,39803949.053473204
2018-02-20,34174410.51165876
2018-02-21,32538737.843228374
2018-02-22,38645483.66379766
2018-02-23,41212829.58069374
2018-02-24,38551564.58852229
2018-02-25,36666527.39013046
2018-02-26,41700454.858359195
2018-02-27,38333789.65063864
2018-02-28,40714628.78368163
2018-03-01,37557353.89455013
2018-03-02,38170789.917870015
2018-03-03,32683538.6875633
2018-03-04,42978115.39637908
2018-03-05,40757469.57502377
2018-03-06,49047852.67076304
2018-03-07,44246160.09362782
2018-03-08,47724008.71278026
2018-03-09,45681515.33341069
2018-03-10,50491577.66524174
2018-03-11,51215776.17283007
2018-03-12,58721709.57831416
2018-03-13,58476759.69788068
2018-03-14,65395952.75141422
2018-03-15,65991596.456649475
2018-03-16,75162919.83324379
2018-03-17,79357246.77656044
