date,actual_views,predicted_views
2018-06-11,1153586,189156130.28525236
2018-06-12,33990075,187819995.57771665
2018-06-12,3706554,187819995.57771665
2018-06-12,165988364,187819995.57771665
2018-06-12,96175104,187819995.57771665
2018-06-12,63375300,187819995.57771665
2018-06-12,37106644,187819995.57771665
2018-06-12,475275963,187819995.57771665
2018-06-12,3178230,187819995.57771665
2018-06-12,73000392,187819995.57771665
2018-06-12,12619134,187819995.57771665
2018-06-12,15233793,187819995.57771665
2018-06-12,18400504,187819995.57771665
2018-06-12,1178170,187819995.57771665
2018-06-13,29961147,182698107.48075122
2018-06-13,4301154,182698107.48075122
2018-06-13,174233775,182698107.48075122
2018-06-13,84305835,182698107.48075122
2018-06-13,68996104,182698107.48075122
2018-06-13,38369959,182698107.48075122
2018-06-13,504521042,182698107.48075122
2018-06-13,3479848,182698107.48075122
2018-06-13,74281829,182698107.48075122
2018-06-13,12761173,182698107.48075122
2018-06-13,15288231,182698107.48075122
2018-06-13,17843901,182698107.48075122
2018-06-13,1199665,182698107.48075122
2018-06-14,28430842,184703961.2648146
2018-06-14,4348193,184703961.2648146
2018-06-14,173378764,184703961.2648146
2018-06-14,77600003,184703961.2648146
2018-06-14,84262936,184703961.2648146
2018-06-14,37831670,184703961.2648146
2018-06-14,494601305,184703961.2648146
2018-06-14,3649404,184703961.2648146
2018-06-14,71495755,184703961.2648146
2018-06-14,12887220,184703961.2648146
2018-06-14,15347948,184703961.2648146
2018-06-14,17944642,184703961.2648146
2018-06-14,1224103,184703961.2648146
