date,actual_views,predicted_views
2018-05-06,197256357.0,200455600.0
2018-05-07,200897941.0,196984350.0
2018-05-08,207312970.99999997,200774060.0
2018-05-09,211694059.0,206640940.0
2018-05-10,219539355.99999997,209892260.0
2018-05-11,220296015.99999997,214326960.0
2018-05-12,166174122.99999997,213702080.0
2018-05-13,118175904.0,171017760.0
2018-05-14,272161637.0,130532670.0
2018-05-15,138603807.0,219468620.0
2018-05-16,129613839.00000001,144874860.0
2018-05-17,133123004.0,129555180.0
2018-05-18,137351727.0,137469170.0
2018-05-19,140789017.0,145738740.0
2018-05-20,144321533.0,149502640.0
2018-05-21,155363916.99999997,152193890.0
2018-05-22,167750789.0,159690540.0
2018-05-23,178156814.99999997,171056080.0
2018-05-24,189907010.0,179992370.0
2018-05-25,194507822.99999997,187990700.0
2018-05-26,164866313.0,191102240.0
2018-05-27,155060436.0,169275090.0
2018-05-28,171041112.0,160876300.0
2018-05-29,174131473.99999997,174814740.0
2018-05-30,163403287.0,182558430.0
2018-05-31,150990879.0,173009600.0
2018-06-01,181504599.99999997,159816620.0
2018-06-02,180673314.99999997,180527890.0
2018-06-03,185844004.99999997,185200540.0
2018-06-04,190924185.0,188450930.0
2018-06-05,198029355.0,191149120.0
2018-06-06,186237225.0,196211400.0
2018-06-07,198220377.99999997,187218580.0
2018-06-08,191097672.99999997,198378960.0
2018-06-09,205005503.99999997,193336620.0
2018-06-10,179157665.0,205290290.0
2018-06-11,182521448.0,183643230.0
2018-06-12,165988363.99999997,185997760.0
2018-06-13,174233775.0,175579710.0
2018-06-14,173378764.0,179467000.0
