trending_date,category_name,views,predicted_views
2018-05-03,Film & Animation,52125234,35423904.0
2018-05-03,Entertainment,193463865,73090616.0
2018-05-03,Education,14477883,12224272.0
2018-05-03,Comedy,37630808,33510160.0
2018-05-03,Howto & Style,39288666,22373550.0
2018-05-04,Travel & Events,1210905,20599842.0
2018-05-04,Sports,29158802,18293378.0
2018-05-04,Science & Technology,13115176,10104727.0
2018-05-04,Pets & Animals,2769129,13796980.0
2018-05-04,People & Blogs,32547037,30212502.0
2018-05-04,News & Politics,4674598,52318820.0
2018-05-04,Music,332181626,64026140.0
2018-05-04,Gaming,19218801,241640.22
2018-05-04,Film & Animation,37193125,22091082.0
2018-05-04,Entertainment,203914805,72970780.0
2018-05-04,Education,14789961,-1804234.1
2018-05-04,Comedy,22445609,31574844.0
2018-05-04,Howto & Style,42621960,21471804.0
2018-05-05,News & Politics,4699492,9577929.0
2018-05-05,Sports,29379100,16074727.0
2018-05-05,Science & Technology,12997857,6306673.5
2018-05-05,Travel & Events,624277,7483151.5
2018-05-05,People & Blogs,31889465,18398948.0
2018-05-05,Music,375677767,53762492.0
2018-05-05,Pets & Animals,3029482,-8817613.0
2018-05-05,Gaming,15014400,17187180.0
2018-05-05,Film & Animation,38770416,44769932.0
2018-05-05,Entertainment,200502288,96248696.0
2018-05-05,Education,14238016,-9296172.0
2018-05-05,Comedy,22520478,20224098.0
2018-05-05,Howto & Style,47063130,13847205.0
2018-05-06,Science & Technology,8412993,27499108.0
2018-05-06,Pets & Animals,3882059,16966634.0
2018-05-06,People & Blogs,31924744,8993189.0
2018-05-06,News & Politics,4089050,4138223.2
2018-05-06,Music,416349203,49104628.0
2018-05-06,Sports,30208821,-14885176.0
2018-05-06,Gaming,15999080,44456748.0
2018-05-06,Film & Animation,41466521,50892108.0
2018-05-06,Entertainment,197256357,107852990.0
2018-05-06,Education,15386459,-10030454.0
2018-05-06,Comedy,23871794,22199122.0
2018-05-06,Howto & Style,49689290,12099485.0
2018-05-07,Sports,34320701,32759414.0
2018-05-07,Science & Technology,11066153,14323750.0
2018-05-07,Pets & Animals,4339337,5455361.0
2018-05-07,People & Blogs,34852782,10733514.0
2018-05-07,News & Politics,4696406,9823251.0
2018-05-07,Music,461794843,59560684.0
2018-05-07,Howto & Style,51134062,19932088.0
2018-05-07,Film & Animation,40859305,38565184.0
2018-05-07,Entertainment,200897941,132563970.0
2018-05-07,Education,9075994,10070071.0
2018-05-07,Comedy,24208447,11852110.0
2018-05-07,Gaming,16978947,3468950.8
2018-05-08,News & Politics,2327055,1598294.2
2018-05-08,Science & Technology,11665070,10492890.0
2018-05-08,Pets & Animals,4743774,3883151.5
2018-05-08,People & Blogs,37589689,9555925.0
2018-05-08,Music,523609338,12677304.0
2018-05-08,Sports,25156559,-7360719.5
2018-05-08,Gaming,20352308,46584336.0
2018-05-08,Comedy,24830969,120943120.0
2018-05-08,Education,8674202,148129700.0
2018-05-08,Howto & Style,53647030,86070680.0
2018-05-08,Film & Animation,23516206,76836890.0
2018-05-08,Entertainment,207312971,121298720.0
2018-05-09,Sports,35396572,-6527966.0
2018-05-09,Science & Technology,12843204,3230732.5
2018-05-09,Pets & Animals,4945983,6799756.5
2018-05-09,People & Blogs,34512954,9177896.0
2018-05-09,Music,575493925,5285735.0
2018-05-09,News & Politics,7763915,-10000453.0
2018-05-09,Gaming,21513984,12194887.0
2018-05-09,Film & Animation,24135229,76023430.0
2018-05-09,Entertainment,211694059,130912880.0
2018-05-09,Education,8818484,14706504.0
2018-05-09,Comedy,25371251,29143518.0
2018-05-09,Howto & Style,44213821,15622652.0
2018-05-10,Sports,38014621,8714181.0
2018-05-10,Science & Technology,14117002,9633248.0
2018-05-10,Pets & Animals,4354554,9719270.0
2018-05-10,People & Blogs,28150770,13112819.0
2018-05-10,News & Politics,9969572,55576560.0
2018-05-10,Music,356883267,73739600.0
2018-05-10,Howto & Style,22898835,-5518472.0
2018-05-10,Film & Animation,23032252,33366976.0
2018-05-10,Entertainment,219539356,74683680.0
2018-05-10,Education,8917667,859077.5
2018-05-10,Comedy,26079181,25214456.0
2018-05-10,Gaming,9122934,9868457.0
2018-05-11,Sports,39611018,16452985.0
2018-05-11,Science & Technology,17799457,8926402.0
2018-05-11,Pets & Animals,4362252,6667108.0
2018-05-11,People & Blogs,29855089,12230609.0
2018-05-11,News & Politics,11741285,70030936.0
2018-05-11,Music,395940681,79418340.0
2018-05-11,Gaming,13312423,-15231639.0
2018-05-11,Film & Animation,25189535,16414817.0
2018-05-11,Entertainment,220296016,72054520.0
2018-05-11,Education,5609065,-8231009.0
2018-05-11,Comedy,25805144,23373518.0
2018-05-11,Howto & Style,19853316,16713333.0
2018-05-12,Music,401386154,8174489.0
2018-05-12,Science & Technology,22157376,-16419358.0
2018-05-12,Sports,36770119,11765370.0
2018-05-12,People & Blogs,28107256,14468979.0
2018-05-12,News & Politics,13901177,71713360.0
2018-05-12,Howto & Style,23243432,72210376.0
2018-05-12,Pets & Animals,4550283,51093052.0
2018-05-12,Film & Animation,34422079,36024140.0
2018-05-12,Entertainment,166174123,61157000.0
2018-05-12,Education,2656923,-10772616.0
2018-05-12,Comedy,27366084,16622028.0
2018-05-12,Autos & Vehicles,617010,26514886.0
2018-05-12,Gaming,17128969,18270326.0
2018-05-13,Sports,34932677,29309692.0
2018-05-13,Science & Technology,24992190,11243744.0
2018-05-13,Pets & Animals,4717270,5074379.0
2018-05-13,People & Blogs,28255403,30926212.0
2018-05-13,News & Politics,13704554,72265660.0
2018-05-13,Music,418313728,82231970.0
2018-05-13,Howto & Style,25888686,-16130040.0
2018-05-13,Gaming,19581642,32680402.0
2018-05-13,Film & Animation,40567392,52589890.0
2018-05-13,Entertainment,118175904,97265930.0
2018-05-13,Education,2917663,3040906.0
2018-05-13,Comedy,22949714,22292380.0
2018-05-13,Autos & Vehicles,853036,6794549.5
2018-05-14,Travel & Events,1447882,20631838.0
2018-05-14,Sports,41288030,18096240.0
2018-05-14,Science & Technology,20109676,-186148.8
2018-05-14,Pets & Animals,5598453,-328671.3
2018-05-14,People & Blogs,45940030,-13362333.0
2018-05-14,News & Politics,2713094,5844053.0
2018-05-14,Music,536870818,100818580.0
2018-05-14,Howto & Style,61554668,34533830.0
2018-05-14,Gaming,30260981,62740050.0
2018-05-14,Film & Animation,76462371,127172310.0
2018-05-14,Entertainment,272161637,198411060.0
2018-05-14,Education,8383121,-13909562.0
2018-05-14,Comedy,29815893,10059112.0
2018-05-15,Travel & Events,912950,5635643.0
2018-05-15,Sports,33594256,17825226.0
2018-05-15,Science & Technology,36041764,792279.94
2018-05-15,People & Blogs,21386680,-341601.75
2018-05-15,News & Politics,19445858,7972203.0
2018-05-15,Music,497905208,62936336.0
2018-05-15,Howto & Style,31023634,59812804.0
2018-05-15,Gaming,28121886,77328770.0
2018-05-15,Film & Animation,45799590,108411544.0
2018-05-15,Entertainment,138603807,121944750.0
2018-05-15,Education,8849784,-5264233.0
2018-05-15,Comedy,22020448,11531545.0
2018-05-15,Autos & Vehicles,983059,7721662.5
2018-05-16,Sports,36259266,20448462.0
2018-05-16,Travel & Events,530511,7172708.5
2018-05-16,Science & Technology,29689933,8000916.5
2018-05-16,Pets & Animals,3712869,8799164.0
2018-05-16,People & Blogs,34120465,22370394.0
2018-05-16,News & Politics,21184734,79448600.0
2018-05-16,Music,391174678,100252056.0
2018-05-16,Comedy,22116805,34415656.0
2018-05-16,Gaming,27064935,83653750.0
2018-05-16,Film & Animation,31585243,103532680.0
2018-05-16,Entertainment,129613839,127145060.0
2018-05-16,Education,6391549,13757384.0
2018-05-16,Autos & Vehicles,1006189,19154424.0
2018-05-16,Howto & Style,23845639,8985120.0
2018-05-17,Sports,36519926,-5415596.0
2018-05-17,Science & Technology,31530661,1645394.5
2018-05-17,Pets & Animals,3784105,7053708.0
2018-05-17,People & Blogs,34960024,15118141.0
2018-05-17,News & Politics,22464785,75613440.0
2018-05-17,Music,394515849,93337480.0
2018-05-17,Travel & Events,581614,6086502.5
2018-05-17,Gaming,22319557,14143990.0
2018-05-17,Film & Animation,41956501,59828844.0
2018-05-17,Entertainment,133123004,107699336.0
2018-05-17,Education,7649847,8479417.0
2018-05-17,Comedy,22937267,18060922.0
2018-05-17,Autos & Vehicles,1019311,10919161.0
2018-05-17,Howto & Style,24662684,12700464.0
2018-05-18,Travel & Events,626621,4578520.0
2018-05-18,Sports,36947199,9814325.0
2018-05-18,Science & Technology,44395182,9872414.0
2018-05-18,Pets & Animals,3858944,32551316.0
2018-05-18,People & Blogs,34462928,25376938.0
2018-05-18,News & Politics,23961536,65961700.0
2018-05-18,Music,421151636,80076616.0
2018-05-18,Howto & Style,26474054,-5213783.5
2018-05-18,Film & Animation,49077754,30615588.0
2018-05-18,Entertainment,137351727,62699376.0
2018-05-18,Education,7904419,3270208.5
2018-05-18,Comedy,26892100,33200192.0
2018-05-18,Autos & Vehicles,1028961,17460664.0
2018-05-18,Gaming,22656784,14302334.0
2018-05-19,Travel & Events,657780,17214156.0
2018-05-19,Sports,37385731,11457999.0
2018-05-19,Science & Technology,53698647,8304799.0
2018-05-19,Pets & Animals,3927072,36728736.0
2018-05-19,People & Blogs,35164628,26577192.0
2018-05-19,Music,479105838,76843650.0
2018-05-19,News & Politics,25326544,-1865315.9
2018-05-19,Gaming,22944623,50820100.0
2018-05-19,Autos & Vehicles,1037738,57094640.0
2018-05-19,Comedy,28152108,65014084.0
2018-05-19,Howto & Style,27948215,106337330.0
2018-05-19,Entertainment,140789017,52689870.0
2018-05-19,Film & Animation,56271871,-37046044.0
2018-05-19,Education,8066630,22659154.0
2018-05-20,Travel & Events,680702,40433396.0
2018-05-20,Sports,37911206,9247167.0
2018-05-20,Science & Technology,59851684,6109475.0
2018-05-20,Pets & Animals,3997642,3243973.5
2018-05-20,People & Blogs,35737017,12113441.0
2018-05-20,Music,526339903,78335736.0
2018-05-20,News & Politics,26305991,-4367140.5
2018-05-20,Gaming,30110299,56919276.0
2018-05-20,Film & Animation,62519483,62115420.0
2018-05-20,Entertainment,144321533,102991390.0
2018-05-20,Education,8219675,-298601.22
2018-05-20,Comedy,25034617,27513180.0
2018-05-20,Autos & Vehicles,1045304,15671904.0
2018-05-20,Howto & Style,29259286,24804266.0
2018-05-21,People & Blogs,37139457,35633760.0
2018-05-21,Travel & Events,699427,10024212.0
2018-05-21,Sports,34323348,7656484.5
2018-05-21,Science & Technology,63476139,1172426.6
2018-05-21,Pets & Animals,4049239,-35462.336
2018-05-21,News & Politics,28075371,23646974.0
2018-05-21,Music,527279580,164456510.0
2018-05-21,Gaming,32693329,14718378.0
2018-05-21,Film & Animation,70044182,41607676.0
2018-05-21,Entertainment,155363917,153205400.0
2018-05-21,Education,6965567,26676116.0
2018-05-21,Comedy,18394921,22784682.0
2018-05-21,Autos & Vehicles,1052662,9630852.0
2018-05-21,Howto & Style,25961126,10433659.0
2018-05-22,Howto & Style,30269397,-3501505.2
2018-05-22,Travel & Events,713772,-2329196.2
2018-05-22,Sports,35841799,8470049.0
2018-05-22,Science & Technology,64808662,28442904.0
2018-05-22,Pets & Animals,4084097,33289418.0
2018-05-22,People & Blogs,40680173,26729206.0
2018-05-22,News & Politics,19926330,78227710.0
2018-05-22,Film & Animation,73488361,129394440.0
2018-05-22,Gaming,37654630,82913320.0
2018-05-22,Entertainment,167750789,101083750.0
2018-05-22,Education,7144042,17552222.0
2018-05-22,Comedy,19841848,23262556.0
2018-05-22,Music,562301991,11917125.0
2018-05-23,Pets & Animals,4736405,-16253440.0
2018-05-23,Science & Technology,66524579,14320430.0
2018-05-23,People & Blogs,43358052,14857320.0
2018-05-23,Travel & Events,724135,13807137.0
2018-05-23,Sports,26644225,76405384.0
2018-05-23,News & Politics,21015746,134884530.0
2018-05-23,Comedy,20446701,164388130.0
2018-05-23,Howto & Style,31319869,73261820.0
2018-05-23,Gaming,38904333,87890290.0
2018-05-23,Film & Animation,78012037,102419464.0
2018-05-23,Entertainment,178156815,100727550.0
2018-05-23,Education,7614499,5688319.0
2018-05-23,Music,601737007,16600983.0
2018-05-24,Sports,27360063,-27064376.0
2018-05-24,Science & Technology,61178244,13930557.0
2018-05-24,Pets & Animals,4904612,20585146.0
2018-05-24,People & Blogs,44486960,18193208.0
2018-05-24,News & Politics,21466843,16125912.0
2018-05-24,Music,602598469,133769176.0
2018-05-24,Travel & Events,731911,34072130.0
2018-05-24,Gaming,35728764,14917066.0
2018-05-24,Film & Animation,78129576,77051010.0
2018-05-24,Entertainment,189907010,109573910.0
2018-05-24,Education,8866345,13825851.0
2018-05-24,Comedy,24276145,16483324.0
2018-05-24,Howto & Style,31920527,11573449.0
