Model,RMSE,MAE,MAPE
FeatureAug_Transformer,0.18737932085851225,0.10238812939976369,1035.2848776352957
FeatureAug_LSTM,0.1917993406739993,0.11814467289166249,1497.5739001410868
Transformer_Univariate,25699344.763437375,18685475.899999995,10.894745656443275
LSTM_Univariate,28443647.027553324,15447696.199999997,8.624952355041401
LSTM_Multivariate,130801093.46431072,62641830.920585714,706.5986439695123
Transformer_Multivariate,130825967.03819597,66933389.821428575,933.9222942164077
CNN_LSTM,137331245.6574984,97036523.29999998,10.291583908107702
Hybrid_Ensemble,167224352.39996064,154811679.92103398,2644.628748407986
ARIMA,453010509.3074193,372012856.9204403,77.52149606036043
Prophet,454434800.18276715,370701035.057808,75.48523030573168
