ds,predicted_views,yhat_lower,yhat_upper
2017-11-14,66606863.70637869,12820875.468907451,117792147.23786213
2017-11-15,68351312.05305138,22197696.2250146,118388333.64375524
2017-11-16,71656336.06002279,23185621.06040541,122558725.54664811
2017-11-17,66380411.87957234,17269012.417656522,116154878.99860296
2017-11-18,60794260.5427141,14928274.4185934,112459527.34803808
2017-11-19,61069818.62366282,9875579.673561588,107244775.79753517
2017-11-20,70690054.06207152,19658102.635861058,119939047.27744214
2017-11-21,66520398.686050735,16711214.016509555,118827619.36986616
2017-11-22,68264847.0309056,19006975.12062595,119247908.83108614
2017-11-23,71569871.03604235,20928320.708998423,123118903.1796272
2017-11-24,66293946.85376488,16348122.16601906,114621671.86337093
2017-11-25,60707795.51510187,14102067.99843455,109587640.68480904
2017-11-26,60983353.594203,13067143.700268883,110496041.182564
2017-11-27,70603589.03079858,22196699.031680033,116416333.33953694
2017-11-28,66433933.65282623,21272569.18732905,114832483.71235308
2017-11-29,68178381.9975722,19811974.475163136,120160189.33494169
2017-11-30,71483406.00257848,18828084.431590185,121533571.25946385
2017-12-01,66207481.82018877,15614673.526685271,118031827.14804289
2017-12-02,60621330.48138845,9207661.841172423,111060426.50788777
2017-12-03,60896888.560364254,15074991.566616643,107989980.1774159
2017-12-04,70517123.99685647,21477489.020962022,116980404.21962015
2017-12-05,66347433.93983805,17043923.24541324,116371922.24239355
2017-12-06,68091847.6055251,19824027.40865608,118770859.16055588
2017-12-07,71396836.93151197,23470367.944057975,120540825.41543636
2017-12-08,66120878.07007882,16433130.856868474,117039801.44082424
2017-12-09,60534692.05223508,9219525.33230082,108508259.55620636
2017-12-10,60810215.45217781,10397889.263735631,114333832.25651352
2017-12-11,70430416.22642246,18089141.795694377,117061024.09888336
2017-12-12,66260726.18621873,16394503.036970863,115520625.9006952
2017-12-13,68005139.86869797,20783892.390294112,117068660.63002202
2017-12-14,71310129.21150048,22740371.23849447,120883035.30533136
2017-12-15,66034170.36687007,19215995.24021629,118050077.95213649
2017-12-16,60447984.36582906,10780138.030479588,105903766.87821417
2017-12-17,60723507.78256498,6883525.577866167,110041169.05094483
2017-12-18,70343708.51867984,21292399.591392357,116453281.8231887
2017-12-19,66174018.44032317,16667342.495646885,118319839.42581758
2017-12-20,67918432.08466743,19416278.04225553,115917368.73713984
2017-12-21,71223421.38931815,20739331.012963843,120374870.3765831
2017-12-22,65947462.50656179,15893685.235210078,117241051.78126667
2017-12-23,60361276.46737379,11172665.643863184,110034286.7851562
2017-12-24,60636799.8329561,10348899.458323993,113926280.44331808
2017-12-25,70257000.55605295,20335014.112165764,121618209.84715854
2017-12-26,66087310.46467504,13620688.73002304,113075272.49303909
2017-12-27,67831724.09601994,17767094.37509229,119267737.49777111
2017-12-28,71136713.38766788,17509341.129786994,119000585.65966316
2017-12-29,65860754.49187778,18177541.67760447,114311186.74602775
2017-12-30,60274568.43969272,8417975.027598059,107287658.4216575
2017-12-31,60550091.8266087,6859876.205327302,110567323.90137428
2018-01-01,70170292.57103865,20280668.54612681,117958795.04230064
2018-01-02,66000602.50099597,16737640.166666742,113862572.69961856
2018-01-03,67745016.15366924,18482543.61810554,116950982.37944028
2018-01-04,71050005.46664286,18408611.942044068,121587597.90599646
2018-01-05,65774046.59218604,17483886.503862284,114979268.97240992
2018-01-06,60187860.51825342,8876509.042913076,105259170.52758773
2018-01-07,60463383.86207175,11128462.274037668,110472044.8500822
2018-01-08,70083584.56341329,20421441.000304542,115838209.765789
2018-01-09,65913894.4502879,15560953.255540498,115534774.60072307
2018-01-12,65687338.41221057,19104685.606535975,113844955.36503856
2018-01-13,60101152.3382754,8659851.801624103,108232846.0212351
2018-01-14,60376675.68210026,12454418.49690751,111901129.43371056
2018-01-15,69996876.7881555,23955591.95836628,118523173.90701096
2018-01-16,65827187.07975399,15765425.34652042,115244334.17991658
2018-01-17,67571601.09403896,18227643.910733934,117339109.2529341
2018-01-18,70876590.76863012,18729375.57432636,122108521.05484007
2018-01-19,65600632.25580564,15486274.11983775,115852624.440697
2018-01-20,60014446.5865923,10412261.191085478,108208705.14675608
2018-01-21,60289982.604742594,11433902.178927392,107841652.853444
2018-01-22,69910195.98040499,21840061.380076803,120736550.3343086
2018-01-23,65740518.541611545,16208082.612280862,117967603.06346329
2018-01-24,67484944.82551429,19286871.880339175,118287687.7412096
2018-01-25,70789946.76971656,23203722.440447375,118678429.01284143
2018-01-26,65514000.52651953,17733112.231198784,115884463.84955612
2018-01-27,59927827.12689036,9323545.63884388,106480583.35747826
2018-01-28,60206691.84876577,13641273.965091696,109327085.77616093
2018-01-29,69830233.92813422,19480596.465583745,120261351.6557063
2018-01-30,65663885.1930531,15352944.161446426,116721493.07213391
2018-01-31,67411640.18065733,16741401.21273675,113642535.09067295
2018-02-01,70719970.82858631,24789003.61845263,120161912.05594271
2018-02-02,65447353.289078325,15906046.691943794,111125801.7761568
2018-02-03,59929865.642742425,11040600.180861233,107054108.13585086
2018-02-04,60274087.41417316,11957512.7404288,109036966.958467
2018-02-05,69962986.54311436,22569031.03498092,116013315.12977396
2018-02-06,65861994.857586704,16820957.622287966,116042324.2765343
2018-02-07,67675106.89477341,17146774.453012418,116863373.0925093
2018-02-08,71048794.59225783,18654365.758053925,116188357.54121876
2018-02-09,65841534.102328785,15261963.439221565,116040055.66759074
2018-02-10,60458173.35932378,13209457.715196677,112905622.03821492
2018-02-11,60936522.03411016,10640013.586840875,109381153.10490488
2018-02-12,70759548.06639184,22923619.49037551,121419256.77768382
2018-02-13,66792683.28423055,13399500.530854996,115781068.16694088
2018-02-14,68739922.22476497,18451801.07979245,118243858.26225592
2018-02-15,72247736.8255859,21655395.27220656,120407781.01593114
2018-02-16,67384498.91507716,20728853.161686968,119415284.57835588
2018-02-17,62211033.8481406,17292135.002083905,111390854.22221088
2018-02-18,62899278.19900904,16027566.86777088,113665006.49824063
2018-02-19,72932199.90734649,21952908.84592335,117906362.80194144
