Date,Forecasted Views,Actual Views,Allocated Units,Unit Cost ($),Underprovision Penalty ($),Overprovision Penalty ($),Total Cost ($),Profit/Loss ($)
2018-05-06,"198,011,340","197,256,357",5,"5,000.00",0.00,105.49,"5,105.49",+$15.10
2018-05-07,"196,248,930","200,897,941",5,"5,000.00",0.00,98.20,"5,098.20",-$92.98
2018-05-08,"198,492,020","207,312,971",5,"5,000.00",0.00,85.37,"5,085.37",-$176.42
2018-05-09,"201,221,380","211,694,059",5,"5,000.00",0.00,76.61,"5,076.61",-$209.45
2018-05-10,"203,974,670","219,539,356",5,"5,000.00",0.00,60.92,"5,060.92",-$311.29
2018-05-11,"207,368,930","220,296,016",5,"5,000.00",0.00,59.41,"5,059.41",-$258.54
2018-05-12,"208,401,600","166,174,123",5,"5,000.00",0.00,167.65,"5,167.65",+$844.55
2018-05-13,"169,904,100","118,175,904",4,"4,000.00",0.00,163.65,"4,163.65","+$1,034.56"
2018-05-14,"128,063,320","272,161,637",4,"4,000.00",721.62,0.00,"4,721.62","-$2,881.97"
2018-05-15,"188,443,890","138,603,807",5,"5,000.00",0.00,222.79,"5,222.79",+$996.80
2018-05-16,"143,840,510","129,613,839",4,"4,000.00",0.00,140.77,"4,140.77",+$284.53
2018-05-17,"134,200,450","133,123,004",4,"4,000.00",0.00,133.75,"4,133.75",+$21.55
2018-05-18,"136,420,560","137,351,727",4,"4,000.00",0.00,125.30,"4,125.30",-$18.62
2018-05-19,"142,886,750","140,789,017",4,"4,000.00",0.00,118.42,"4,118.42",+$41.95
2018-05-20,"149,346,400","144,321,533",4,"4,000.00",0.00,111.36,"4,111.36",+$100.50
2018-05-21,"154,727,120","155,363,917",4,"4,000.00",0.00,89.27,"4,089.27",-$12.74
2018-05-22,"160,962,600","167,750,789",4,"4,000.00",0.00,64.50,"4,064.50",-$135.76
2018-05-23,"168,048,290","178,156,815",4,"4,000.00",0.00,43.69,"4,043.69",-$202.17
2018-05-24,"173,541,870","189,907,010",4,"4,000.00",0.00,20.19,"4,020.19",-$327.30
2018-05-25,"179,360,000","194,507,823",5,"5,000.00",0.00,110.98,"5,110.98",-$302.96
2018-05-26,"184,347,490","164,866,313",5,"5,000.00",0.00,170.27,"5,170.27",+$389.62
2018-05-27,"170,181,310","155,060,436",4,"4,000.00",0.00,89.88,"4,089.88",+$302.42
2018-05-28,"162,363,180","171,041,112",4,"4,000.00",0.00,57.92,"4,057.92",-$173.56
2018-05-29,"174,617,360","174,131,474",4,"4,000.00",0.00,51.74,"4,051.74",+$9.72
2018-05-30,"180,572,670","163,403,287",5,"5,000.00",0.00,173.19,"5,173.19",+$343.39
2018-05-31,"172,537,890","150,990,879",4,"4,000.00",0.00,98.02,"4,098.02",+$430.94
2018-06-01,"161,365,820","181,504,600",4,"4,000.00",0.00,36.99,"4,036.99",-$402.78
2018-06-02,"177,659,860","180,673,315",5,"5,000.00",0.00,138.65,"5,138.65",-$60.27
2018-06-03,"181,925,550","185,844,005",5,"5,000.00",0.00,128.31,"5,128.31",-$78.37
2018-06-04,"185,335,820","190,924,185",5,"5,000.00",0.00,118.15,"5,118.15",-$111.77
2018-06-05,"187,548,220","198,029,355",5,"5,000.00",0.00,103.94,"5,103.94",-$209.62
2018-06-06,"190,554,600","186,237,225",5,"5,000.00",0.00,127.53,"5,127.53",+$86.35
2018-06-07,"187,370,220","198,220,378",5,"5,000.00",0.00,103.56,"5,103.56",-$217.00
2018-06-08,"194,844,900","191,097,673",5,"5,000.00",0.00,117.80,"5,117.80",+$74.94
2018-06-09,"192,331,540","205,005,504",5,"5,000.00",0.00,89.99,"5,089.99",-$253.48
2018-06-10,"198,702,400","179,157,665",5,"5,000.00",0.00,141.68,"5,141.68",+$390.89
2018-06-11,"183,462,430","182,521,448",5,"5,000.00",0.00,134.96,"5,134.96",+$18.82
2018-06-12,"186,258,910","165,988,364",5,"5,000.00",0.00,168.02,"5,168.02",+$405.41
2018-06-13,"173,816,290","174,233,775",4,"4,000.00",0.00,51.53,"4,051.53",-$8.35
2018-06-14,"179,413,860","173,378,764",5,"5,000.00",0.00,153.24,"5,153.24",+$120.70
