trending_date,category_name,views,avg_likes,num_trending_videos,time_idx,day_of_week,series_id,avg_likes_scaled,num_trending_videos_scaled
2017-11-14,Entertainment,28047357,19072.8,45,0,Tuesday,entertainment,-1.2702731876049553,-0.6497085554063825
2017-11-15,Entertainment,28235702,20117.11111111111,45,1,Wednesday,entertainment,-1.229671590162719,-0.6497085554063825
2017-11-16,Entertainment,36124139,24560.916666666668,48,2,Thursday,entertainment,-1.0569016154314603,-0.10901740307224775
2017-11-17,Entertainment,42336053,27146.79591836735,49,3,Friday,entertainment,-0.9563656474668226,0.07121298103913049
2017-11-18,Entertainment,48933568,30935.270833333332,48,4,Saturday,entertainment,-0.8090741633670302,-0.10901740307224775
2017-11-19,Entertainment,54200341,33428.97959183674,49,5,Sunday,entertainment,-0.7121216766284674,0.07121298103913049
2017-11-20,Entertainment,63012378,39097.574468085106,47,6,Monday,entertainment,-0.49173332225801275,-0.289247787183626
2017-11-21,Entertainment,59368425,42642.78048780488,41,7,Tuesday,entertainment,-0.3538998489463037,-1.3706300918518954
2017-11-22,Entertainment,53277709,33449.09302325582,43,8,Wednesday,entertainment,-0.7113396898843155,-1.010169323629139
2017-11-23,Entertainment,42442249,33149.11111111111,45,9,Thursday,entertainment,-0.7230026365936469,-0.6497085554063825
2017-11-24,Entertainment,49723341,34357.916666666664,48,10,Friday,entertainment,-0.67600568709228,-0.10901740307224775
2017-11-25,Entertainment,54001724,37752.04347826087,46,11,Saturday,entertainment,-0.5440459971052352,-0.46947817129500424
2017-11-26,Entertainment,56369450,38373.51063829787,47,12,Sunday,entertainment,-0.5198840790839423,-0.289247787183626
2017-11-27,Entertainment,58935423,38258.291666666664,48,13,Monday,entertainment,-0.5243636582573376,-0.10901740307224775
2017-11-28,Entertainment,50116497,34774.63043478261,46,14,Tuesday,entertainment,-0.6598043420317268,-0.46947817129500424
2017-11-29,Entertainment,35946938,26213.5625,48,15,Wednesday,entertainment,-0.9926486738265428,-0.10901740307224775
2017-11-30,Entertainment,70636384,59047.78723404255,47,16,Thursday,entertainment,0.2839076711127672,-0.289247787183626
2017-12-01,Entertainment,83837514,63722.27659574468,47,17,Friday,entertainment,0.46564636305286683,-0.289247787183626
2017-12-02,Entertainment,100519422,76140.3829787234,47,18,Saturday,entertainment,0.9484478491158841,-0.289247787183626
2017-12-03,Entertainment,116831712,71669.83333333333,54,19,Sunday,entertainment,0.7746380953782864,0.9723649015960216
2017-12-04,Entertainment,126880875,76050.81481481482,54,20,Monday,entertainment,0.9449655434160174,0.9723649015960216
2017-12-05,Entertainment,138551821,82143.38461538461,52,21,Tuesday,entertainment,1.181837548127591,0.6119041333732652
2017-12-06,Entertainment,145170831,86627.96,50,22,Wednesday,entertainment,1.3561926062402907,0.2514433651505087
2017-12-07,Entertainment,171866538,103525.32692307692,52,23,Thursday,entertainment,2.0131425154628224,0.6119041333732652
2017-12-08,Entertainment,187807306,110462.3846153846,52,24,Friday,entertainment,2.282847224011764,0.6119041333732652
