date,actual_views,predicted_views
2018-05-06,197256357.0,189577900.0
2018-05-07,200897941.0,189444050.0
2018-05-08,207312970.99999997,190328850.0
2018-05-09,211694059.0,191358830.0
2018-05-10,219539355.99999997,193097950.0
2018-05-11,220296015.99999997,194362540.0
2018-05-12,166174122.99999997,195000540.0
2018-05-13,118175904.0,190758400.0
2018-05-14,272161637.0,176543440.0
2018-05-15,138603807.0,173662240.0
2018-05-16,129613839.00000001,166435100.0
2018-05-17,133123004.0,158161620.0
2018-05-18,137351727.0,151476690.0
2018-05-19,140789017.0,146749740.0
2018-05-20,144321533.0,144272700.0
2018-05-21,155363916.99999997,148320350.0
2018-05-22,167750789.0,158566020.0
2018-05-23,178156814.99999997,160587550.0
2018-05-24,189907010.0,164394020.0
2018-05-25,194507822.99999997,168459730.0
2018-05-26,164866313.0,172766540.0
2018-05-27,155060436.0,175784050.0
2018-05-28,171041112.0,177302780.0
2018-05-29,174131473.99999997,178951280.0
2018-05-30,163403287.0,179503890.0
2018-05-31,150990879.0,178244270.0
2018-06-01,181504599.99999997,175231460.0
2018-06-02,180673314.99999997,174988240.0
2018-06-03,185844004.99999997,175986880.0
2018-06-04,190924185.0,178364100.0
2018-06-05,198029355.0,179433730.0
2018-06-06,186237225.0,180536530.0
2018-06-07,198220377.99999997,182512080.0
2018-06-08,191097672.99999997,187251790.0
2018-06-09,205005503.99999997,187961540.0
2018-06-10,179157665.0,189436450.0
2018-06-11,182521448.0,188794370.0
2018-06-12,165988363.99999997,188133460.0
2018-06-13,174233775.0,185372270.0
2018-06-14,173378764.0,184368100.0
